Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,DEU,Germany,2000,All,Age_all,[All],210738,25.12383807,139.2527094,256.4108991
EU,Europe,DEU,Germany,2001,All,Age_all,[All],207619,25.05838576,134.9152764,252.1490919
EU,Europe,DEU,Germany,2002,All,Age_all,[All],210043,24.95503074,134.4495698,254.6521825
EU,Europe,DEU,Germany,2003,All,Age_all,[All],209255,24.50447686,132.2133567,253.5804092
EU,Europe,DEU,Germany,2004,All,Age_all,[All],209328,25.58174492,129.7803149,253.7269909
EU,Europe,DEU,Germany,2005,All,Age_all,[All],211396,25.46243377,128.2905152,256.348368
EU,Europe,DEU,Germany,2006,All,Age_all,[All],211523,25.74440713,126.0063975,256.809227
EU,Europe,DEU,Germany,2007,All,Age_all,[All],211765,25.60161034,123.8589242,257.4254788
EU,Europe,DEU,Germany,2008,All,Age_all,[All],216010,25.5802965,124.2699507,263.0426074
EU,Europe,DEU,Germany,2009,All,Age_all,[All],216128,25.29161752,122.1564123,263.9738713
EU,Europe,DEU,Germany,2010,All,Age_all,[All],218899,25.48988784,121.162366,267.7418924
EU,Europe,DEU,Germany,2011,All,Age_all,[All],221591,25.99832459,120.5242769,270.9625099
EU,Europe,DEU,Germany,2012,All,Age_all,[All],221611,25.48477314,118.2446522,270.5299948
EU,Europe,DEU,Germany,2013,All,Age_all,[All],223842,25.04315722,119.7091019,277.5625529
EU,Europe,DEU,Germany,2014,All,Age_all,[All],223758,25.76800298,116.915668,276.3041398
EU,Europe,DEU,Germany,2015,All,Age_all,[All],226337,24.46357544,116.1884953,277.0796796
EU,Europe,DEU,Germany,2016,All,Age_all,[All],230725,25.32937241,116.3005945,280.1806062
EU,Europe,DEU,Germany,2017,All,Age_all,[All],227590,24.41240325,113.035162,275.3426712
EU,Europe,DEU,Germany,2018,All,Age_all,[All],230031,24.0901941,112.7203977,277.4607445
EU,Europe,DEU,Germany,2019,All,Age_all,[All],231318,24.62087023,111.1427329,278.3845881
EU,Europe,DEU,Germany,2020,All,Age_all,[All],231271,23.46566258,109.2880868,278.1007428
